iter	Passed	Remaining
0	56	55953
1	56	28142
2	56	18873
3	57	14243
4	57	11457
5	57	9602
6	58	8270
7	58	7274
8	59	6497
9	59	5876
10	59	5375
11	60	4961
12	60	4602
13	60	4292
14	61	4024
15	61	3789
16	61	3583
17	62	3399
18	62	3236
19	63	3089
20	63	2956
21	63	2833
22	64	2721
23	64	2618
24	64	2524
25	65	2436
26	65	2354
27	65	2279
28	65	2208
29	66	2141
30	66	2079
31	66	2020
32	67	1965
33	67	1915
34	67	1866
35	67	1820
36	68	1777
37	68	1737
38	68	1698
39	69	1661
40	69	1626
41	69	1593
42	70	1561
43	70	1530
44	70	1501
45	71	1473
46	71	1447
47	71	1421
48	71	1396
49	72	1373
50	72	1349
51	72	1327
52	73	1305
53	73	1285
54	73	1265
55	73	1246
56	74	1228
57	74	1211
58	74	1193
59	75	1177
60	75	1162
61	75	1148
62	76	1133
63	76	1118
64	76	1104
65	77	1090
66	77	1077
67	77	1062
68	77	1049
69	78	1037
70	78	1025
71	78	1013
72	78	1002
73	79	991
74	79	980
75	79	970
76	80	960
77	80	950
78	80	940
79	80	930
80	81	921
81	81	912
82	81	903
83	82	894
84	82	884
85	82	876
86	82	867
87	82	859
88	83	851
89	83	844
90	83	836
91	84	829
92	84	822
93	84	815
94	84	808
95	85	802
96	85	796
97	85	789
98	86	783
99	86	777
100	86	771
101	86	763
102	87	758
103	87	752
104	87	747
105	87	741
106	88	736
107	88	730
108	88	725
109	89	720
110	89	716
111	89	712
112	90	707
113	90	702
114	90	697
115	90	691
116	91	687
117	91	682
118	91	677
119	91	673
120	92	668
121	92	664
122	92	659
123	92	654
124	92	650
125	93	646
126	93	642
127	93	637
128	93	633
129	94	629
130	94	626
131	94	622
132	94	618
133	95	615
134	95	611
135	95	608
136	95	604
137	96	600
138	96	597
139	96	593
140	96	590
141	97	587
142	97	583
143	97	580
144	97	577
145	98	574
146	98	571
147	98	568
148	99	565
149	99	562
150	99	559
151	99	557
152	100	554
153	100	551
154	100	548
155	100	546
156	101	543
157	101	540
158	101	538
159	102	535
160	102	533
161	102	530
162	102	527
163	103	525
164	103	523
165	103	520
166	103	518
167	104	516
168	104	513
169	104	511
170	105	509
171	105	507
172	105	504
173	105	502
174	106	500
175	106	498
176	106	496
177	106	494
178	107	492
179	107	489
180	107	487
181	107	484
182	108	482
183	108	480
184	108	478
185	108	476
186	109	474
187	109	472
188	109	470
189	109	468
190	110	466
191	110	464
192	110	463
193	111	461
194	111	459
195	111	457
196	111	455
197	112	454
198	112	452
199	112	451
200	113	449
201	113	447
202	113	446
203	113	444
204	114	442
205	114	441
206	114	439
207	114	437
208	115	436
209	115	434
210	115	433
211	116	431
212	116	429
213	116	428
214	116	426
215	117	425
216	117	423
217	117	422
218	117	420
219	118	419
220	118	417
221	118	416
222	119	414
223	119	413
224	119	411
225	119	410
226	120	409
227	120	407
228	120	406
229	120	404
230	121	403
231	121	402
232	121	400
233	122	399
234	122	398
235	122	396
236	122	395
237	123	394
238	123	392
239	123	391
240	123	390
241	124	388
242	124	387
243	124	386
244	124	384
245	125	383
246	125	382
247	125	381
248	125	379
249	126	378
250	126	377
251	126	376
252	127	375
253	127	373
254	127	372
255	127	371
256	128	370
257	128	369
258	128	368
259	128	366
260	129	365
261	129	364
262	129	363
263	129	362
264	130	361
265	130	359
266	130	358
267	130	357
268	131	356
269	131	355
270	131	354
271	132	353
272	132	352
273	132	351
274	132	350
275	133	349
276	133	348
277	133	347
278	134	346
279	134	345
280	134	344
281	134	343
282	135	342
283	135	341
284	135	340
285	135	339
286	136	338
287	136	337
288	136	336
289	137	335
290	137	334
291	137	333
292	137	332
293	138	331
