iter	Passed	Remaining
0	57	57069
1	57	28637
2	57	19219
3	58	14476
4	58	11625
5	58	9721
6	58	8364
7	59	7346
8	59	6551
9	59	5925
10	60	5404
11	60	4975
12	60	4610
13	61	4297
14	61	4054
15	62	3819
16	63	3653
17	63	3461
18	63	3290
19	64	3138
20	64	2997
21	64	2870
22	64	2754
23	65	2647
24	65	2550
25	65	2458
26	65	2375
27	66	2298
28	66	2224
29	66	2157
30	66	2093
31	67	2035
32	67	1980
33	67	1928
34	68	1880
35	68	1834
36	68	1789
37	69	1747
38	69	1707
39	69	1669
40	69	1633
41	70	1599
42	70	1568
43	70	1537
44	71	1507
45	71	1478
46	71	1451
47	71	1424
48	72	1401
49	72	1377
50	72	1355
51	73	1332
52	73	1311
53	73	1290
54	73	1271
55	74	1251
56	74	1232
57	74	1215
58	75	1200
59	75	1184
60	76	1170
61	76	1153
62	76	1138
63	76	1123
64	77	1110
65	77	1096
66	77	1082
67	77	1068
68	78	1055
69	78	1043
70	78	1031
71	79	1019
72	79	1007
73	79	997
74	79	986
75	80	975
76	80	965
77	80	955
78	81	945
79	81	935
80	81	926
81	81	916
82	81	905
83	82	897
84	82	888
85	82	879
86	83	871
87	83	863
88	83	855
89	83	847
90	84	840
91	84	832
92	84	826
93	85	819
94	85	812
95	85	806
96	85	799
97	86	793
98	86	786
99	86	780
100	86	774
101	87	768
102	87	762
103	87	756
104	88	750
105	88	744
106	88	739
107	88	733
108	89	728
109	89	722
110	89	717
111	89	712
112	90	707
113	90	702
114	90	697
115	90	693
116	91	688
117	91	684
118	91	680
119	92	675
120	92	671
121	92	666
122	92	661
123	93	657
124	93	654
125	93	650
126	93	645
127	94	641
128	94	637
129	94	634
130	95	630
131	95	627
132	95	623
133	95	620
134	96	616
135	96	613
136	96	610
137	97	607
138	97	604
139	97	600
140	98	597
141	98	593
142	98	590
143	98	586
144	98	583
145	99	580
146	99	577
147	99	574
148	100	571
149	100	568
150	100	565
151	100	563
152	101	559
153	101	557
154	101	554
155	101	551
156	102	549
157	102	546
158	102	543
159	103	541
160	103	538
161	103	535
162	103	533
163	104	530
164	104	528
165	104	525
166	104	523
167	105	521
168	105	518
169	105	516
170	106	514
171	106	512
172	106	510
173	107	508
174	107	506
175	107	503
176	107	501
177	108	499
178	108	497
179	108	495
180	108	493
181	109	491
182	109	488
183	109	486
184	110	484
185	110	482
186	110	480
187	110	478
188	111	477
189	111	475
190	111	473
191	111	471
192	112	469
193	112	467
194	112	466
195	113	464
196	113	462
197	113	460
198	113	458
199	114	456
200	114	455
201	114	453
202	115	451
203	115	450
204	115	448
205	115	446
206	116	444
207	116	443
208	116	441
209	116	440
210	117	438
211	117	436
212	117	435
213	118	433
214	118	432
215	118	430
216	118	428
217	119	427
218	119	425
219	119	424
220	119	422
221	120	421
222	120	419
223	120	418
224	121	417
225	121	415
226	121	414
227	122	413
228	122	411
229	122	410
230	122	408
231	123	407
